OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-MD,USGS Maryland Water Science Center,DE002-383346075340301,Qd21-42,Well,,02080109,,,,,38.56289288000000,-75.5671472000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,10,005,Northern Atlantic Coastal Plain aquifer system,,Columbia Group,Unconfined single aquifer,19891026,100,ft,105,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,DE002-390703075371801,Jc33-12,Well,,02040207,,,,,39.11750000000000,-75.6216667000000,,Unknown,Unknown,Differentially corrected Global Positioning System.,NAD83,,,,,,,US,10,001,Northern Atlantic Coastal Plain aquifer system,,Columbia Group,Unconfined single aquifer,19941114,79,ft,79,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01482320,"RED LION CREEK NEAR DELAWARE CITY, DE",Estuary,,02040205,,,,,39.60520000000000,-75.6300167000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,0.00,feet,.1,feet,Level or other surveyed method.,NGVD29,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01487148,"BUCKS BRANCH NEAR WESLEY CHURCH, DE",Stream,,02080109,2.31,sq mi,,,38.69394444000000,-75.6545277800000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,35,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01487150,"BUCKS BRANCH NEAR ATLANTA, DE",Stream,,02080109,2.97,sq mi,,,38.69147220000000,-75.6348888900000,,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,24.23,feet,.01,feet,Level or other surveyed method.,NAVD88,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01487155,"FIELD DITCH OUTLET AT WESLEY CHURCH, DE",Stream: Ditch,,02080109,0.27,sq mi,,,38.69627778000000,-75.6383888900000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,35,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01487160,"GILBERT TRIVITTS DITCH AT CANNON, DE",Stream: Ditch,,02080109,1.27,sq mi,,,38.69194444000000,-75.6263333000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,37,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-382755075341501,Rd31-24,Well,,02080109,,,,,38.46527778000000,-75.5708333000000,24000,1,seconds,Reported.,NAD83,49,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,005,Northern Atlantic Coastal Plain aquifer system,,Columbia Group,Unconfined single aquifer,19760407,89,ft,89,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-382805075330301,Rd22-01,Well,,02080109,,,,,38.46805556000000,-75.5508333000000,240000,Unknown,Unknown,Differentially corrected Global Positioning System.,NAD83,48.71,feet,1,feet,Interpolated from topographic map.,NGVD29,US,10,005,Northern Atlantic Coastal Plain aquifer system,,Columbia Group,Unconfined single aquifer,19860729,60,ft,60,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-382807075070701,Ri23-15,Well,,02040303,,,,,38.46861110000000,-75.1186111000000,,1,seconds,Differentially corrected Global Positioning System.,NAD83,,,,,,,US,10,005,Northern Atlantic Coastal Plain aquifer system,,Columbia Group,Unconfined single aquifer,20020710,65,ft,80,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-382824075081502,Ri22-10,Well,,02040303,,,,,38.47330000000000,-75.1374167000000,24000,1,seconds,Differentially corrected Global Positioning System.,NAD83,15.00,feet,2.5,feet,Interpolated from topographic map.,NGVD29,US,10,005,Northern Atlantic Coastal Plain aquifer system,,Columbia Group,Unconfined single aquifer,20020731,23.00,ft,24.00,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-382825075081601,Ri22-03,Well,,02040303,,,,,38.47372414000000,-75.1374068000000,24000,5,seconds,Interpolated from MAP.,NAD83,15,feet,10,feet,Interpolated from topographic map.,NGVD29,US,10,005,Northern Atlantic Coastal Plain aquifer system,,Columbia Group,Unconfined single aquifer,19841214,50,ft,50,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-382833075213701,Rf24-08,Well,,02080111,,,,,38.47591667000000,-75.3602000000000,24000,1,seconds,Differentially corrected Global Positioning System.,NAD83,35.00,feet,2.5,feet,Interpolated from topographic map.,NGVD29,US,10,005,Northern Atlantic Coastal Plain aquifer system,,Beaverdam Sand,Unconfined single aquifer,20020731,19.00,ft,19.00,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-382906075215101,24D-R,Well,,02080111,,,,,38.48527778000000,-75.3644444000000,24000,1,seconds,Differentially corrected Global Positioning System.,NAD83,40,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,005,Northern Atlantic Coastal Plain aquifer system,,Columbia Group,Unconfined single aquifer,20030214,60,ft,60,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-382932075221701,Rf13-02,Well,,02080111,,,,,38.49208330000000,-75.3714167000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,44,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,005,,,,,,12.9,ft,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383101075141001,DE-SU 56105,Well,,02040303,,,,,38.51705796000000,-75.2357440000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,10,005,Northern Atlantic Coastal Plain aquifer system,,Columbia Group,Unconfined single aquifer,19840820,128,ft,128,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383221075182301,Qg32-18,Well,,02040303,,,,,38.53922220000000,-75.3064722000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,43,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,005,,,,,,11.8,ft,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383231075383101,22DR,Well,,02080109,,,,,38.54205980000000,-75.6415948000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,10,005,Northern Atlantic Coastal Plain aquifer system,,Beaverdam Sand,,,60,ft,60,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383308075382301,Qc22-04,Well,,02080109,,,,,38.55233750000000,-75.6393725000000,24000,5,seconds,Interpolated from MAP.,NAD83,26,feet,10,feet,Interpolated from topographic map.,NGVD29,US,10,005,Northern Atlantic Coastal Plain aquifer system,,Columbia Group,Unconfined single aquifer,19880330,29,ft,70,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383412075125401,Qh13-05,Well,,02040303,,,,,38.56988889000000,-75.2149167000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,17,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,005,,,,,,18.0,ft,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383438075274201,Qc13-01,Well,,02080109,,,,,38.57716667000000,-75.4617500000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,45,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,005,,,,,,13.1,ft,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383629075245601,Pf41-02,Well,,02040303,,,,,38.60794444000000,-75.4154167000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,51,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,005,,,,,,12.9,ft,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383713075085501,Pi32-15,Well,,02040303,,,,,38.62038889000000,-75.1486667000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,9.28,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,10,005,Northern Atlantic Coastal Plain aquifer system,,Columbia Group,Unconfined single aquifer,19720101,90.00,ft,90.00,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383729075101601,Ph35-25,Well,,02040303,,,,,38.62488889000000,-75.1713056000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,10.30,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,10,005,Northern Atlantic Coastal Plain aquifer system,,Columbia Group,Unconfined single aquifer,19860407,58.00,ft,73.00,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383732075191301,Pg31-12,Well,,02040303,,,,,38.62566896000000,-75.3199141000000,24000,.1,seconds,Interpolated from MAP.,NAD83,30,feet,5,feet,Reported method of determination.,NGVD29,US,10,005,Northern Atlantic Coastal Plain aquifer system,,Columbia Group,Unconfined single aquifer,19751210,73,ft,120,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383749075110501,Ph34-15,Well,,02040303,,,,,38.63019444000000,-75.1846111000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,14,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,005,,,,,,12.9,ft,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383815075271001,Pe23-185,Well,,02080109,,,,,38.63743330000000,-75.4526500000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,45.18,feet,1,feet,Interpolated from topographic map.,NGVD29,US,10,005,Northern Atlantic Coastal Plain aquifer system,,Manokin Aquifer,Unconfined single aquifer,19871207,120,ft,120,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383816075095602,WCV-73-GP01,Well: Test hole not completed as a well,,02040303,,,,,38.63780556000000,-75.1655556000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3.5,feet,.5,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,005,Northern Atlantic Coastal Plain aquifer system,,Columbia Group,Unconfined single aquifer,20110425,11,ft,12,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383820075095002,WCV-78-GP01,Well: Test hole not completed as a well,,02040303,,,,,38.63880556000000,-75.1641111000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3.5,feet,.5,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,005,Northern Atlantic Coastal Plain aquifer system,,Columbia Group,Unconfined single aquifer,20110421,9,ft,12,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383820075095101,WCV-78-PW01,Well,,02040303,,,,,38.63880556000000,-75.1641111000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3,feet,.5,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,005,Northern Atlantic Coastal Plain aquifer system,,Columbia Group,Unconfined single aquifer,19860609,40.00,ft,40.00,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383820075095201,WCV-198-PW01,Well,,02040303,,,,,38.63888889000000,-75.1644444000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,5.9,feet,.5,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,005,Northern Atlantic Coastal Plain aquifer system,,Columbia Group,Unconfined single aquifer,19870526,75,ft,75,ft,NWIS
