OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-NY,USGS New York Water Science Center,USGS-01335827,MOHAWK RIVER AT NORTH WESTERN NY,Stream,,02020004,,,,,43.33979165000000,-75.3654499000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,065,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01336000,MOHAWK RIVER BELOW DELTA DAM NEAR ROME NY,Stream,,02020004,152,sq mi,,,43.26444444000000,-75.4363888900000,24000,1,seconds,Interpolated from MAP.,NAD83,472.34,feet,.01,feet,Level or other surveyed method.,NAVD88,US,36,065,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01336510,MOHAWK RIVER AT FLOYD AVENUE AT ROME NY,Stream,,02020004,157,sq mi,,,43.21819444000000,-75.4314722000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,065,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01336523,MOHAWK RIVER AT SH 69 AT ROME NY,Stream,,02020004,,,,,43.20090280000000,-75.4482300000000,24000,1,seconds,Interpolated from MAP.,NAD83,420,feet,10,feet,Interpolated from topographic map.,NGVD29,US,36,065,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01337020,NINEMILE CREEK NEAR ORISKANY NY,Stream,,02020004,68.5,sq mi,,,43.18256960000000,-75.3312805000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,065,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01338505,ORISKANY CREEK AT UTICA STREET BR ORISKANY NY,Stream,,02020004,140,sq mi,,,43.15562520000000,-75.3307246000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,065,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01339060,SAUQUOIT CREEK AT WHITESBORO NY,Stream,,02020004,59.8,sq mi,,,43.11144444000000,-75.2940000000000,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,419.98,feet,.01,feet,GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,36,065,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01339480,NAIL CREEK NEAR MOUTH NEAR HAAK AVE AT UTICA NY,Stream,,02020004,4.73,sq mi,,,43.10869444000000,-75.2420556000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,065,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01341140,REALL CREEK AT MOUTH AT UTICA NY,Stream,,02020004,8.91,sq mi,,,43.11194444000000,-75.2141667000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,065,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01341610,BALLOU CREEK AT MOUTH NEAR UTICA NY,Stream,,02020004,4.65,sq mi,,,43.10118086000000,-75.2004408000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,065,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01342602,MOHAWK RIVER NEAR UTICA NY,Stream,,02020004,553,sq mi,,,43.09369444000000,-75.1579167000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,386.02,feet,.01,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,36,043,,,,,,,,,,NWIS
