OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-MD,USGS Maryland Water Science Center,USGS-394805077504601,Replace NAWQA Site FR-811R,Well,,02070004,,,,,39.80138889000000,-77.8463888900000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,510,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,42,055,,,Greenbrier Limestone,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01427510,DELAWARE RIVER AT CALLICOON NY,Stream,,02040101,1820,sq mi,,,41.75675000000000,-75.0574167000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,734.33,feet,.02,feet,Level or other surveyed method.,NAVD88,US,42,127,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-394321077295901,AT 13115 EPHEMERAL UNNAMED TRIB TO FALLS CR PA,Stream,,02070004,,,,,39.72267220000000,-77.4999750000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,1059,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,42,055,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-394707077282001,AT 13114 RATTLESNAKE RUN PA,Stream,,02070004,,,,,39.78550830000000,-77.4723083000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,1184,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,42,055,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-394845077284701,AT 12035 INTERMITTENT TRIB TO TUMBLING RUN PA,Stream,,02070004,,,,,39.81265556000000,-77.4799222000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,1283,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,42,055,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-395215077285701,AT 13113 RACOON CREEK PA,Stream,,02070004,,,,,39.87094167000000,-77.4826277800000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,1251,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,42,055,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-395535077285001,AT 13112 HOSACK RUN PA,Stream,,02070004,,,,,39.92659720000000,-77.4806777800000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,1246,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,42,055,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-395905077275901,AT 13111 MAINS RUN PA,Stream,,02050305,,,,,39.98489167000000,-77.4664111000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,1587,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,42,055,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-400140077213601,AT 13110 TOMS RUN PA,Stream,,02050305,,,,,40.02793330000000,-77.3601611000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,1539,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,42,041,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-400427077105401,AT 13109 UNNAMED TRIBUTARY TO HUNTERS RUN PA,Stream,,02050305,,,,,40.07434444000000,-77.1817500000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,679,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,42,041,,,,,,,,,,NWIS
