OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-MD,USGS Maryland Water Science Center,USGS-01646580,"POTOMAC RIVER AT CHAIN BRIDGE, AT WASHINGTON, DC",Stream,,02070010,11570,sq mi,,,38.92955550000000,-77.1169232000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,51,013,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-373049075484101,64J  31,Well,,02040304,,,,,37.51374576000000,-75.8110410000000,24000,5,seconds,Interpolated from MAP.,NAD83,24,feet,10,feet,Interpolated from topographic map.,NGVD29,US,51,001,Northern Atlantic Coastal Plain aquifer system,,Columbia Group,Unconfined single aquifer,19880602,30,ft,40,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-373049075484102,64J  30,Well,,02040304,,,,,37.51374576000000,-75.8110410000000,24000,5,seconds,Interpolated from MAP.,NAD83,24,feet,10,feet,Interpolated from topographic map.,NGVD29,US,51,131,Northern Atlantic Coastal Plain aquifer system,,Columbia Group,Unconfined single aquifer,19880602,22,ft,22,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-373330075494601,64J  29,Well,,02080111,,,,,37.55846670000000,-75.8290975000000,24000,5,seconds,Interpolated from MAP.,NAD83,36,feet,10,feet,Interpolated from topographic map.,NGVD29,US,51,001,Northern Atlantic Coastal Plain aquifer system,,Columbia Group,Unconfined single aquifer,19880606,40,ft,40,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-373330075494602,64J  28,Well,,02080111,,,,,37.55846670000000,-75.8290975000000,24000,5,seconds,Interpolated from MAP.,NAD83,36,feet,10,feet,Interpolated from topographic map.,NGVD29,US,51,001,Northern Atlantic Coastal Plain aquifer system,,Columbia Group,Unconfined single aquifer,19880606,13,ft,55,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-374755075371001,66L  12,Well,,02040304,,,,,37.79873860000000,-75.6190950800000,24000,5,seconds,Interpolated from MAP.,NAD83,47,feet,10,feet,Interpolated from topographic map.,NGVD29,US,51,001,Northern Atlantic Coastal Plain aquifer system,,Columbia Group,Unconfined single aquifer,19880606,28,ft,32,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-374755075371002,66L  11,Well,,02040304,,,,,37.79873860000000,-75.6190950800000,24000,5,seconds,Interpolated from MAP.,NAD83,47,feet,10,feet,Interpolated from topographic map.,NGVD29,US,51,001,Northern Atlantic Coastal Plain aquifer system,,Columbia Group,Unconfined single aquifer,19880606,15,ft,15,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-382253079021201,38R  1,Well,,02070005,,,,,38.38151484000000,-79.0364199000000,24000,5,seconds,Interpolated from MAP.,NAD83,1280,feet,10,feet,Interpolated from topographic map.,NGVD29,US,51,165,Valley and Ridge aquifers,,Conococheague Formation,,19621011,288,ft,288,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-382556078565401,39R 8,Well,,02070005,,,,,38.43222220000000,-78.9483333000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1272,feet,10,feet,Global Positioning System.,NAVD88,US,51,165,Valley and Ridge aquifers,,,,20010601,170,ft,170,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-382706077285801,51R   6,Well,,02070011,,,,,38.45164990000000,-77.4816507000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,309,feet,5,feet,Global Positioning System.,NGVD29,US,51,179,Piedmont and Blue Ridge crystalline-rock aquifers,,,,1986,365,ft,365,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-382805077255801,51R  7,Well,,02070011,,,,,38.46800000000000,-77.4327167000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,232,feet,5,feet,Interpolated from topographic map.,NAVD88,US,51,179,Valley and Ridge aquifers,,Lower Cambrian Series,Unconfined single aquifer,20020914,49.70,ft,50,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-382859078544401,39R 7,Well,,02070006,,,,,38.48305556000000,-78.9122222000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1375,feet,10,feet,Global Positioning System.,NAVD88,US,51,165,Valley and Ridge aquifers,,,,19990924,285,ft,285,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383035077351501,50S  10,Well,,02080103,,,,,38.50984659000000,-77.6038763900000,24000,5,seconds,Interpolated from MAP.,NAD83,410,feet,5,feet,Interpolated from topographic map.,NGVD29,US,51,061,Piedmont and Blue Ridge crystalline-rock aquifers,,,,1978,175,ft,175,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383514077242601,51S 13,Well,,02070011,,,,,38.58735000000000,-77.4073333000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,332,feet,5,feet,Interpolated from topographic map.,NAVD88,US,51,153,Valley and Ridge aquifers,,Lower Cambrian Series,Unconfined single aquifer,20020918,74.39,ft,75,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-383632078451901,NAWQA replacement for 40 S 2R,Well,,02070006,,,,,38.60888889000000,-78.7552778000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,1153,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,51,165,,,,,,,,,,NWIS
