OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-MD,USGS Maryland Water Science Center,USGS-01594911,"ELK RUN AT HENRY, WV",Stream,,02070002,3.51,sq mi,,,39.22522220000000,-79.4256944000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2635,feet,3,feet,Interpolated from Digital Elevation Model,NAVD88,US,54,023,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-0159493050,"NORTH BRANCH POTOMAC RIVER NEAR WILSON, MD",Stream,,02070002,25.5,sq mi,,,39.24716667000000,-79.4059444000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2506,feet,3,feet,Interpolated from Digital Elevation Model,NAVD88,US,54,023,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01594960,"BUFFALO CREEK AT BAYARD, WV",Stream,,02070002,9.9,sq mi,,,39.27316030000000,-79.3658792000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,54,023,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-391200077520401,GV-29,Well,,02070007,,,,,39.20010326000000,-77.8674954000000,24000,5,seconds,Interpolated from MAP.,NAD83,485,feet,10,feet,Interpolated from topographic map.,NGVD29,US,54,037,Valley and Ridge aquifers,,Elbrook Formation,,,126,ft,126,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-391317077555801,GV-21,Well,,02070007,,,,,39.22149170000000,-77.9324965000000,24000,5,seconds,Interpolated from MAP.,NAD83,590,feet,10,feet,Interpolated from topographic map.,NGVD29,US,54,037,Valley and Ridge aquifers,,Conococheague Group,,19920505,155,ft,155,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-392033077530301,GV-20,Well,,02070007,,,,,39.34260060000000,-77.8838847900000,24000,5,seconds,Interpolated from MAP.,NAD83,595,feet,10,feet,Interpolated from topographic map.,NGVD29,US,54,037,Valley and Ridge aquifers,,Conococheague Group,,1968,175,ft,175,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-392929077530202,GV-19-R,Well,,02070004,,,,,39.49148739000000,-77.8836073900000,24000,1,seconds,Interpolated from MAP.,NAD83,467,feet,1.6,feet,Interpolated from Digital Elevation Model,NGVD29,US,54,003,,,,Unconfined single aquifer,,205,ft,205,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-393108077561101,Ber-0687,Well,,02070004,,,,,39.51888889000000,-77.9363888900000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,441,feet,5,feet,Altimeter.,NGVD29,US,54,003,Valley and Ridge aquifers,,Rockdale Run Formation,Unconfined single aquifer,19670102,80,ft,80,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-393319077560801,GV-18,Well,,02070004,,,,,39.55537490000000,-77.9352756000000,24000,5,seconds,Interpolated from MAP.,NAD83,522,feet,10,feet,Interpolated from topographic map.,NGVD29,US,54,003,Valley and Ridge aquifers,,Conococheague Group,,19780426,123,ft,123,ft,NWIS
USGS-NY,USGS New York Water Science Center,USGS-372756080262801,AT 23047 CROSIER BROOK AT RAINBOW POND WV,Stream,,02080201,,,,,37.46567500000000,-80.4411528000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,2278,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,54,063,,,,,,,,,,NWIS
