OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-MD,USGS Maryland Water Science Center,USGS-01647595,"POTOMAC RIVER AT KEY BRIDGE AT WASHINGTON, DC",Stream,,02070010,,,,,38.90233385000000,-77.0694220900000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,11,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01648010,"ROCK CREEK AT JOYCE RD WASHINGTON, DC",Stream,,02070010,63.7,sq mi,,,38.96016667000000,-77.0420556000000,24000,.1,seconds,Interpolated from MAP.,NAD83,136.78,feet,.01,feet,Differentially corrected Global Positioning System.,NAVD88,US,11,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01651740,"NASH RUN AT WASHINGTON, DC",Stream,,02070010,0.70,sq mi,,,38.91033330000000,-76.9421111000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,10,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,11,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01651770,"HICKEY RUN AT NATIONAL ARBORETUM AT WASHINGTON, DC",Stream,,02070010,1.01,sq mi,,,38.91611110000000,-76.9688611000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,16.28,feet,.05,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,11,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01651800,"WATTS BRANCH AT WASHINGTON, DC",Stream,,02070010,3.36,sq mi,,,38.90127778000000,-76.9432777800000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,10.73,feet,.01,feet,Level or other surveyed method.,NAVD88,US,11,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01651810,UNMED TRIB TO ANACOSTIA R BLW FT DUPONT AT WASH DC,Stream,,02070010,0.68,sq mi,,,38.88211110000000,-76.9640000000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,19,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,11,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01651812,"ANACOSTIA RIVER AT ANACOSTIA PARK BOAT RAMP, DC",Stream: Tidal stream,,02070010,167,sq mi,,,38.87991667000000,-76.9708333000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,0.00,feet,.05,feet,Level or other surveyed method.,NAVD88,US,11,001,,,,,20230410,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01651817,"POPE BRANCH AT FAIRLAWN AVE AT WASHINGTON, DC",Stream,,02070010,0.34,sq mi,,,38.87760000000000,-76.9666194000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,16,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,11,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-0165182550,"TRIB TO ANACOSTIA R ABV GOOD HOPE ROAD AT WASH, DC",Stream,,02070010,0.22,sq mi,,,38.86391667000000,-76.9765833000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,103,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,11,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01651827,"ANACOSTIA RIVER NR BUZZARD POINT AT WASHINGTON, DC",Stream: Tidal stream,,02070010,,,,,38.86516667000000,-77.0103333000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,-0.14,feet,.05,feet,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,11,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385138076585901,AC Aa   6,Well,,02070010,,,,,38.86066667000000,-76.9831388900000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,142.55,feet,.03,feet,Differentially corrected Global Positioning System.,NAVD88,US,11,001,Northern Atlantic Coastal Plain aquifer system,,Potomac Group,Unconfined single aquifer,20080508,18.5,ft,19.5,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385138076585902,AC Aa   7,Well,,02070010,,,,,38.86066667000000,-76.9831388900000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,142.55,feet,.03,feet,Differentially corrected Global Positioning System.,NAVD88,US,11,001,Northern Atlantic Coastal Plain aquifer system,,Potomac Group,Confined single aquifer,20080508,60,ft,61.5,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385157076580301,AC Aa   2,Well,,02070010,,,,,38.86594444000000,-76.9675833000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,125.59,feet,.04,feet,Differentially corrected Global Positioning System.,NAVD88,US,11,001,Northern Atlantic Coastal Plain aquifer system,,Potomac Group,Unconfined single aquifer,20050728,17,ft,24,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385238076581501,WE Ca  29,Well,,02070010,,,,,38.87733330000000,-76.9709167000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,13.38,feet,.01,feet,Level or other surveyed method.,NAVD88,US,11,001,Northern Atlantic Coastal Plain aquifer system,,Quaternary Alluvium,Confined single aquifer,20020729,48.5,ft,57,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385241076580901,WE Ca 39,Well,,02070010,,,,,38.87828056000000,-76.9694194000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,15.45,feet,.04,feet,GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,11,001,Northern Atlantic Coastal Plain aquifer system,,,Unconfined single aquifer,19980211,388,ft,398,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385243076580901,WE Ca 40,Well,,02070010,,,,,38.87854167000000,-76.9691861000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,15,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,11,001,,,,Confined single aquifer,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385245076583501,WE Ca  34,Well,,02070010,,,,,38.87933330000000,-76.9764167000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,19.61,feet,.04,feet,Differentially corrected Global Positioning System.,NAVD88,US,11,001,Northern Atlantic Coastal Plain aquifer system,,Quaternary Alluvium,Unconfined single aquifer,20050810,33,ft,45.5,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385252076572801,WE Cb   8,Well,,02070010,,,,,38.88119444000000,-76.9577777800000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,58.79,feet,.1,feet,Differentially corrected Global Positioning System.,NAVD88,US,11,001,Northern Atlantic Coastal Plain aquifer system,,Potomac Group,Confined single aquifer,19920401,265,ft,277,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385257077001101,WW Cc 38,Well,,02070010,,,,,38.88247220000000,-77.0031306000000,31680,.01,seconds,Differentially corrected Global Positioning System.,NAD83,60.61,feet,.18,feet,Differentially corrected Global Positioning System.,NAVD88,US,11,001,Northern Atlantic Coastal Plain aquifer system,,Patuxent Formation,Confined single aquifer,20080730,290,ft,290,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385327076544801,WE Cc   3,Well,,02070010,,,,,38.89083330000000,-76.9134722000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,88.70,feet,.01,feet,Differentially corrected Global Positioning System.,NAVD88,US,11,001,Northern Atlantic Coastal Plain aquifer system,,Potomac Group,Unconfined single aquifer,20050816,23,ft,23,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385332076564102,WE Cb  12,Well,,02070010,,,,,38.89225000000000,-76.9447777800000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,60.59,feet,.04,feet,Differentially corrected Global Positioning System.,NAVD88,US,11,001,Northern Atlantic Coastal Plain aquifer system,,Potomac Group,Unconfined single aquifer,20050803,39,ft,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385332076594701,WE Ca  32,Well,,02070010,,,,,38.89216667000000,-76.9964167000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,79.98,feet,.01,feet,Level or other surveyed method.,NAVD88,US,11,001,Northern Atlantic Coastal Plain aquifer system,,Terrace Deposits,Unconfined single aquifer,19921001,29,ft,30,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385354076555901,WE Cb  10,Well,,02070010,,,,,38.89833330000000,-76.9330556000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,42.44,feet,.04,feet,Differentially corrected Global Positioning System.,NAVD88,US,11,001,Northern Atlantic Coastal Plain aquifer system,,Terrace Deposits,Unconfined single aquifer,19920506,18,ft,18,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385436076573601,WE Ca  42,Well,,02070010,,,,,38.90986944000000,-76.9599472000000,24000,1,minutes,Interpolated from Digital MAP.,NAD83,22,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,11,001,Northern Atlantic Coastal Plain aquifer system,,Patuxent Formation,Confined single aquifer,19941003,298,ft,306,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385443076562801,WE Cb   5,Well,,02070010,,,,,38.91208330000000,-76.9412222000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,18.53,feet,.01,feet,Level or other surveyed method.,NAVD88,US,11,001,Northern Atlantic Coastal Plain aquifer system,,Terrace Deposits,Unconfined single aquifer,20020724,22.6,ft,31.3,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385504076563801,WE Bb   3,Well,,02070010,,,,,38.91766667000000,-76.9438056000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,12.30,feet,.01,feet,Level or other surveyed method.,NAVD88,US,11,001,Northern Atlantic Coastal Plain aquifer system,,Quaternary Alluvium,Confined single aquifer,20020724,25,ft,32,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385504076563802,WE Bb   4,Well,,02070010,,,,,38.91766667000000,-76.9438056000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,12.37,feet,.01,feet,Level or other surveyed method.,NAVD88,US,11,001,Northern Atlantic Coastal Plain aquifer system,,Quaternary Alluvium,Confined single aquifer,20020726,32,ft,62,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385519077012601,WW Bc   8,Well,,02070010,,,,,38.92202778000000,-77.0241388900000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,123.39,feet,.04,feet,Differentially corrected Global Positioning System.,NAVD88,US,11,001,Northern Atlantic Coastal Plain aquifer system,,Potomac Group,Unconfined single aquifer,20050818,32,ft,32,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385527077000701,WW Bc   9,Well,,02070010,,,,,38.92438889000000,-77.0021388900000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,133.60,feet,.04,feet,Differentially corrected Global Positioning System.,NAVD88,US,11,001,Northern Atlantic Coastal Plain aquifer system,,Potomac Group,Unconfined single aquifer,20050817,36.0,ft,36.0,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385534076582101,WE Ba  10,Well,,02070010,,,,,38.92622220000000,-76.9726111000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,74.43,feet,.04,feet,Differentially corrected Global Positioning System.,NAVD88,US,11,001,Northern Atlantic Coastal Plain aquifer system,,Potomac Group,Unconfined single aquifer,20050818,17,ft,20,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385604077053801,WW Ba  46,Well,,02070008,,,,,38.93444444000000,-77.0938888900000,24000,1,seconds,Interpolated from MAP.,NAD83,325,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,11,001,Piedmont and Blue Ridge crystalline-rock aquifers,,,Unconfined single aquifer,20051027,27.2,ft,27.4,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385605077053501,WW Ba  42,Well,,02070008,,,,,38.93491667000000,-77.0925277800000,24000,.1,seconds,Reported.,NAD83,370,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,11,001,Piedmont and Blue Ridge crystalline-rock aquifers,,Sykesville Formation,Unconfined single aquifer,20120314,98,ft,100,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385605077053502,WW Ba  43,Well,,02070008,,,,,38.93491667000000,-77.0925277800000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,371,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,11,001,Piedmont and Blue Ridge crystalline-rock aquifers,,Sykesville Formation,Unconfined multiple aquifer,20120815,124,ft,174.5,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385605077053503,WW Ba  44,Well,,02070008,,,,,38.93491667000000,-77.0925277800000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,371,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,11,001,Piedmont and Blue Ridge crystalline-rock aquifers,,Sykesville Formation,Unconfined multiple aquifer,20120815,152,ft,174.5,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385605077053901,SV-MP-02 35 to 44 ft,Well: Multiple wells,,02070008,,,,,38.93469444000000,-77.0940556000000,24000,.1,seconds,Interpolated from MAP.,NAD83,322,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,11,001,Piedmont and Blue Ridge crystalline-rock aquifers,,,Unconfined single aquifer,,44,ft,200,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385605077053902,SV-MP-02 49 to 54 ft,Well: Multiple wells,,02070008,,,,,38.93469444000000,-77.0940556000000,24000,.1,seconds,Interpolated from MAP.,NAD83,322,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,11,001,Piedmont and Blue Ridge crystalline-rock aquifers,,,Unconfined single aquifer,,54,ft,200,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385605077053903,SV-MP-02 56 to 71 ft,Well: Multiple wells,,02070008,,,,,38.93469444000000,-77.0940556000000,24000,.1,seconds,Interpolated from MAP.,NAD83,322,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,11,001,Piedmont and Blue Ridge crystalline-rock aquifers,,,Unconfined single aquifer,,71,ft,200,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385605077053904,SV-MP-02 73 to 77 ft,Well: Multiple wells,,02070008,,,,,38.93469444000000,-77.0940556000000,24000,.1,seconds,Interpolated from MAP.,NAD83,322,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,11,001,Piedmont and Blue Ridge crystalline-rock aquifers,,,Unconfined single aquifer,,77,ft,200,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385605077053905,SV-MP-02 96 to 102 ft,Well: Multiple wells,,02070008,,,,,38.93469444000000,-77.0940556000000,24000,.1,seconds,Interpolated from MAP.,NAD83,322,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,11,001,Piedmont and Blue Ridge crystalline-rock aquifers,,,Unconfined single aquifer,,102,ft,200,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-385605077053906,SV-MP-02 105 to 114 ft,Well: Multiple wells,,02070008,,,,,38.93469444000000,-77.0940556000000,24000,.1,seconds,Interpolated from MAP.,NAD83,322,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,11,001,Piedmont and Blue Ridge crystalline-rock aquifers,,,Unconfined single aquifer,,114,ft,200,ft,NWIS
