OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-MD,USGS Maryland Water Science Center,USGS-01486100,"ANDREWS BRANCH NEAR DELMAR, MD",Stream,,02080110,4.94,sq mi,,,38.43875000000000,-75.5241611000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,0,feet,0.2,feet,GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,24,045,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01490200,"FARM CREEK NEAR TODDVILLE, MD",Stream: Tidal stream,,02080110,,,,,38.31847220000000,-76.0885556000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,0.00,feet,0.1,feet,Differentially corrected Global Positioning System.,NAVD88,US,24,019,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01491000,"CHOPTANK RIVER NEAR GREENSBORO, MD",Stream,,02060005,113,sq mi,,,38.99719444000000,-75.7858056000000,,1,seconds,Interpolated from MAP.,NAD83,2.73,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,011,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01491950,"KINGS CREEK NEAR EASTON, MD",Stream,,02060005,8.45,sq mi,,,38.79013889000000,-76.0201388900000,24000,Unknown,Unknown,GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System,NAD83,0,feet,.3,feet,GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,24,041,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01492920,"ANDOVER BR AT FELTON SCHOOL RD NR PETERS CRNRS, MD",Stream,,02060002,7.68,sq mi,,,39.20552778000000,-75.7663611000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,37,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,035,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01492925,"ANDOVER BR AT STILLTOWN RD NR PETERS CORNERS, MD",Stream,,02060002,8.63,sq mi,,,39.21886110000000,-75.7681111000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,37,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,035,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01492930,"GRAVEL RUN NR PETERS CORNERS, MD",Stream,,02060002,11.8,sq mi,,,39.22108330000000,-75.7683333000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,37,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,035,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01492935,"ANDOVER BRANCH NR STEVENS CORNERS, MD",Stream,,02060002,22.2,sq mi,,,39.23044444000000,-75.7827500000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,25,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,035,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01492940,"ANDOVER BRANCH TRIB NR PETERS CORNERS, MD",Stream,,02060002,0.18,sq mi,,,39.21386110000000,-75.7817222000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,37,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,035,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01492945,"ANDOVER BRANCH TRIB NR STEVENS CORNERS, MD",Stream,,02060002,1.45,sq mi,,,39.23058330000000,-75.7840833000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,37,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,035,,,,,,,,,,NWIS
